chain,chunk,first_sample,samples,nominal_ns,written_ns,retries
0,283,289792,1024,92454124595299,92454124596004,0
0,284,290816,1024,92454124940545,92454124941285,0
0,285,291840,1024,92454125285791,92454125286367,0
0,286,292864,1024,92454125631037,92454125631588,0
0,287,293888,1024,92454125976282,92454125976951,0
0,288,294912,1024,92454126321528,92454126322472,0
0,289,295936,1024,92454126666774,92454126667374,0
0,290,296960,1024,92454127012020,92454127012735,0
0,291,297984,1024,92454127357265,92454127358247,0
0,292,299008,1024,92454127702511,92454127703268,0
0,293,300032,1024,92454128047757,92454128048681,0
0,294,301056,1024,92454128393003,92454128393742,0
0,295,302080,1024,92454128738248,92454128738974,0
0,296,303104,1024,92454129083494,92454129083965,0
0,297,304128,1024,92454129428740,92454129429457,0
0,298,305152,1024,92454129773986,92454129774648,0
0,299,306176,1024,92454130119232,92454130119770,0
0,300,307200,1024,92454130464477,92454130465222,0
0,301,308224,1024,92454130809723,92454130810404,0
0,302,309248,1024,92454131154969,92454131155685,0
0,303,310272,1024,92454131500215,92454131500787,0
0,304,311296,1024,92454131845460,92454131846058,0
0,305,312320,1024,92454132190706,92454132191310,0
0,306,313344,1024,92454132535952,92454132536522,0
0,307,314368,1024,92454132881198,92454132881904,0
0,308,315392,1024,92454133226444,92454133227185,0
0,309,316416,1024,92454133571689,92454133572247,0
0,310,317440,1024,92454133916935,92454133917588,0
0,311,318464,1024,92454134262181,92454134262810,0
0,312,319488,1024,92454134607427,92454134607992,0
0,313,320512,1024,92454134952672,92454134953334,0
0,314,321536,1024,92454135297918,92454135298645,0
0,315,322560,1024,92454135643164,92454135643927,0
0,316,323584,1024,92454135988410,92454135989088,0
0,317,324608,1024,92454136333655,92454136334330,0
0,318,325632,1024,92454136678901,92454136679483,0
0,319,326656,1024,92454137024147,92454137024824,0
0,320,327680,1024,92454137369393,92454137369986,0
0,321,328704,1024,92454137714639,92454137715277,0
0,322,329728,1024,92454138059884,92454138060519,0
0,323,330752,1024,92454138405130,92454138405870,0
0,324,331776,1024,92454138750376,92454138751083,0
0,325,332800,1024,92454139095622,92454139096364,0
0,326,333824,1024,92454139440867,92454139441796,0
0,327,334848,1024,92454139786113,92454139786687,0
0,328,335872,1024,92454140131359,92454140132119,0
0,329,336896,1024,92454140476605,92454140477300,0
0,330,337920,1024,92454140821851,92454140822923,0
0,331,338944,1024,92454141167096,92454141167654,0
0,332,339968,1024,92454141512342,92454141512896,0
0,333,340992,1024,92454141857588,92454141858217,0
0,334,342016,1024,92454142202834,92454142203459,0
0,335,343040,1024,92454142548079,92454142548970,0
0,336,344064,1024,92454142893325,92454142893973,0
0,337,345088,1024,92454143238571,92454143239144,0
0,338,346112,1024,92454143583817,92454143584466,0
0,339,347136,1024,92454143929062,92454143929727,0
0,340,348160,1024,92454144274308,92454144275029,0
0,341,349184,1024,92454144619554,92454144620210,0
0,342,350208,1024,92454144964800,92454144965542,0
0,343,351232,1024,92454145310046,92454145310774,0
0,344,352256,1024,92454145655291,92454145655876,0
0,345,353280,1024,92454146000537,92454146007327,0
0,346,354304,1024,92454146345783,92454146346419,0
0,347,355328,1024,92454146691029,92454146691660,0
0,348,356352,1024,92454147036274,92454147036902,0
0,349,357376,1024,92454147381520,92454147382124,0
0,350,358400,1024,92454147726766,92454147727416,0
0,351,359424,1024,92454148072012,92454148072677,0
0,352,360448,1024,92454148417258,92454148417859,0
0,353,361472,1024,92454148762503,92454148763200,0
0,354,362496,1024,92454149107749,92454149108502,0
0,355,363520,1024,92454149452995,92454149453624,0
0,356,364544,1024,92454149798241,92454149799056,0
0,357,365568,1024,92454150143486,92454150144227,0
0,358,366592,1024,92454150488732,92454150489479,0
0,359,367616,1024,92454150833978,92454150834630,0
0,360,368640,1024,92454151179224,92454151179912,0
0,361,369664,1024,92454151524470,92454151525204,0
0,362,370688,1024,92454151869715,92454151870406,0
0,363,371712,1024,92454152214961,92454152215727,0
0,364,372736,1024,92454152560207,92454152560889,0
0,365,373760,1024,92454152905453,92454152906020,0
0,366,374784,1024,92454153250698,92454153251562,0
0,367,375808,1024,92454153595944,92454153596724,0
0,368,376832,1024,92454153941190,92454153941836,0
0,369,377856,1024,92454154286436,92454154287027,0
0,370,378880,1024,92454154631681,92454154632349,0
0,371,379904,1024,92454154976927,92454154977620,0
0,372,380928,1024,92454155322173,92454155322782,0
0,373,381952,1024,92454155667419,92454155668254,0
0,374,382976,1024,92454156012665,92454156013336,0
0,375,384000,1024,92454156357910,92454156358637,0
0,376,385024,1024,92454156703156,92454156703899,0
0,377,386048,1024,92454157048402,92454157049020,0
0,378,387072,1024,92454157393648,92454157394602,0
0,379,388096,1024,92454157738893,92454157739584,0
0,380,389120,1024,92454158084139,92454158084806,0
0,381,390144,1024,92454158429385,92454158430057,0
0,382,391168,1024,92454158774631,92454158775189,0
0,383,392192,1024,92454159119877,92454159120560,0
0,384,393216,1024,92454159465122,92454159465792,0
0,385,394240,1024,92454159810368,92454159810994,0
0,386,395264,1024,92454160155614,92454160156286,0
0,387,396288,1024,92454160500860,92454160501507,0
0,388,397312,1024,92454160846105,92454160846819,0
0,389,398336,1024,92454161191351,92454161192070,0
0,390,399360,1024,92454161536597,92454161537302,0
0,391,400384,1024,92454161881843,92454161882483,0
0,392,401408,1024,92454162227088,92454162227916,0
0,393,402432,1024,92454162572334,92454162573087,0
0,394,403456,1024,92454162917580,92454162918289,0
0,395,404480,1024,92454163262826,92454163263570,0
0,396,405504,1024,92454163608072,92454163608702,0
0,397,406528,1024,92454163953317,92454163954033,0
0,398,407552,1024,92454164298563,92454164299266,0
0,399,408576,1024,92454164643809,92454164644548,0
0,400,409600,1024,92454164989055,92454164989669,0
0,401,410624,1024,92454165334300,92454165334851,0
0,402,411648,1024,92454165679546,92454165680352,0
0,403,412672,1024,92454166024792,92454166025404,0
0,404,413696,1024,92454166370038,92454166371086,0
0,405,414720,1024,92454166715284,92454166716278,0
0,406,415744,1024,92454167060529,92454167061119,0
0,407,416768,1024,92454167405775,92454167406611,0
0,408,417792,1024,92454167751021,92454167752082,0
0,409,418816,1024,92454168096267,92454168097014,0
0,410,419840,1024,92454168441512,92454168442156,0
0,411,420864,1024,92454168786758,92454168787438,0
0,412,421888,1024,92454169132004,92454169132749,0
0,413,422912,1024,92454169477250,92454169477971,0
0,414,423936,1024,92454169822496,92454169823392,0
0,415,424960,1024,92454170167741,92454170168334,0
0,416,425984,1024,92454170512987,92454170513606,0
0,417,427008,1024,92454170858233,92454170859178,0
0,418,428032,1024,92454171203479,92454171204359,0
0,419,429056,1024,92454171548724,92454171549441,0
0,420,430080,1024,92454171893970,92454171894622,0
0,421,431104,1024,92454172239216,92454172240034,0
0,422,432128,1024,92454172584462,92454172585386,0
0,423,433152,1024,92454172929707,92454172930448,0
0,424,434176,1024,92454173274953,92454173275659,0
0,425,435200,1024,92454173620199,92454173620901,0
0,426,436224,1024,92454173965445,92454173966472,0
0,427,437248,1024,92454174310691,92454174311474,0
0,428,438272,1024,92454174655936,92454174656655,0
0,429,439296,1024,92454175001182,92454175010907,0
0,430,440320,1024,92454175346428,92454175347099,0
0,431,441344,1024,92454175691674,92454175692451,0
0,432,442368,1024,92454176036919,92454176037602,0
0,433,443392,1024,92454176382165,92454176382874,0
0,434,444416,1024,92454176727411,92454176728125,0
0,435,445440,1024,92454177072657,92454177073288,0
0,436,446464,1024,92454177417903,92454177418649,0
0,437,447488,1024,92454177763148,92454177763841,0
0,438,448512,1024,92454178108394,92454178109032,0
0,439,449536,1024,92454178453640,92454178454324,0
0,440,450560,1024,92454178798886,92454178799595,0
0,441,451584,1024,92454179144131,92454179144848,0
0,442,452608,1024,92454179489377,92454179490059,0
0,443,453632,1024,92454179834623,92454179835741,0
0,444,454656,1024,92454180179869,92454180180642,0
0,445,455680,1024,92454180525114,92454180525764,0
0,446,456704,1024,92454180870360,92454180871125,0
0,447,457728,1024,92454181215606,92454181216658,0
0,448,458752,1024,92454181560852,92454181561829,0
0,449,459776,1024,92454181906098,92454181906771,0
0,450,460800,1024,92454182251343,92454182252012,0
0,451,461824,1024,92454182596589,92454182597284,0
0,452,462848,1024,92454182941835,92454182942565,0
0,453,463872,1024,92454183287081,92454183287928,0
0,454,464896,1024,92454183632326,92454183633019,0
0,455,465920,1024,92454183977572,92454183978301,0
0,456,466944,1024,92454184322818,92454184323542,0
0,457,467968,1024,92454184668064,92454184668734,0
0,458,468992,1024,92454185013310,92454185014015,0
0,459,470016,1024,92454185358555,92454185359258,0
0,460,471040,1024,92454185703801,92454185704459,0
0,461,472064,1024,92454186049047,92454186049881,0
0,462,473088,1024,92454186394293,92454186395012,0
0,463,474112,1024,92454186739538,92454186740254,0
0,464,475136,1024,92454187084784,92454187085445,0
0,465,476160,1024,92454187430030,92454187430718,0
0,466,477184,1024,92454187775276,92454187776019,0
0,467,478208,1024,92454188120522,92454188121261,0
0,468,479232,1024,92454188465767,92454188466532,0
0,469,480256,1024,92454188811013,92454188811734,0
0,470,481280,1024,92454189156259,92454189157005,0
0,471,482304,1024,92454189501505,92454189502237,0
0,472,483328,1024,92454189846750,92454189847399,0
0,473,484352,1024,92454190191996,92454190192631,0
0,474,485376,1024,92454190537242,92454190538042,0
0,475,486400,1024,92454190882488,92454190883324,0
0,476,487424,1024,92454191227733,92454191228445,0
0,477,488448,1024,92454191572979,92454191573707,0
0,478,489472,1024,92454191918225,92454191918930,0
0,479,490496,1024,92454192263471,92454192264141,0
0,480,491520,1024,92454192608717,92454192609453,0
0,481,492544,1024,92454192953962,92454192954664,0
0,482,493568,1024,92454193299208,92454193300216,0
0,483,494592,1024,92454193644454,92454193645487,0
0,484,495616,1024,92454193989700,92454193990440,0
0,485,496640,1024,92454194334945,92454194335681,0
0,486,497664,1024,92454194680191,92454194681033,0
0,487,498688,1024,92454195025437,92454195026194,0
0,488,499712,1024,92454195370683,92454195371376,0
0,489,500736,1024,92454195715929,92454195716777,0
0,490,501760,1024,92454196061174,92454196062020,0
0,491,502784,1024,92454196406420,92454196407081,0
0,492,503808,1024,92454196751666,92454196752403,0
0,493,504832,1024,92454197096912,92454197097684,0
0,494,505856,1024,92454197442157,92454197442906,0
0,495,506880,1024,92454197787403,92454197788137,0
0,496,507904,1024,92454198132649,92454198133309,0
0,497,508928,1024,92454198477895,92454198478551,0
0,498,509952,1024,92454198823140,92454198823863,0
0,499,510976,1024,92454199168386,92454199169134,0
0,500,512000,1024,92454199513632,92454199514296,0
0,501,513024,1024,92454199858878,92454199859677,0
0,502,514048,1024,92454200204124,92454200204829,0
0,503,515072,1024,92454200549369,92454200550101,0
0,504,516096,1024,92454200894615,92454200895263,0
0,505,517120,1024,92454201239861,92454201240504,0
0,506,518144,1024,92454201585107,92454201585826,0
0,507,519168,1024,92454201930352,92454201931067,0
0,508,520192,1024,92454202275598,92454202276300,0
0,509,521216,1024,92454202620844,92454202621541,0
0,510,522240,1024,92454202966090,92454202966763,0
0,511,523264,1024,92454203311336,92454203312044,0
0,512,524288,1024,92454203656581,92454203657346,0
0,513,525312,1024,92454204001827,92454204007488,0
0,514,526336,1024,92454204347073,92454204347839,0
0,515,527360,1024,92454204692319,92454204693081,0
0,516,528384,1024,92454205037564,92454205038273,0
0,517,529408,1024,92454205382810,92454205383494,0
0,518,530432,1024,92454205728056,92454205729126,0
0,519,531456,1024,92454206073302,92454206074077,0
0,520,532480,1024,92454206418548,92454206419179,0
0,521,533504,1024,92454206763793,92454206764441,0
0,522,534528,1024,92454207109039,92454207109973,0
0,523,535552,1024,92454207454285,92454207455004,0
0,524,536576,1024,92454207799531,92454207800176,0
0,525,537600,1024,92454208144776,92454208145437,0
0,526,538624,1024,92454208490022,92454208490749,0
0,527,539648,1024,92454208835268,92454208835931,0
0,528,540672,1024,92454209180514,92454209181283,0
0,529,541696,1024,92454209525759,92454209526504,0
0,530,542720,1024,92454209871005,92454209871756,0
0,531,543744,1024,92454210216251,92454210216917,0
0,532,544768,1024,92454210561497,92454210562279,0
0,533,545792,1024,92454210906743,92454210907361,0
0,534,546816,1024,92454211251988,92454211252683,0
0,535,547840,1024,92454211597234,92454211598014,0
0,536,548864,1024,92454211942480,92454211943126,0
0,537,549888,1024,92454212287726,92454212288417,0
0,538,550912,1024,92454212632971,92454212633759,0
0,539,551936,1024,92454212978217,92454212978940,0
0,540,552960,1024,92454213323463,92454213324143,0
0,541,553984,1024,92454213668709,92454213669344,0
0,542,555008,1024,92454214013955,92454214014626,0
0,543,556032,1024,92454214359200,92454214359977,0
0,544,557056,1024,92454214704446,92454214705149,0
0,545,558080,1024,92454215049692,92454215050490,0
0,546,559104,1024,92454215394938,92454215395633,0
0,547,560128,1024,92454215740183,92454215740924,0
0,548,561152,1024,92454216085429,92454216086136,0
0,549,562176,1024,92454216430675,92454216431407,0
0,550,563200,1024,92454216775921,92454216776639,0
0,551,564224,1024,92454217121166,92454217121840,0
0,552,565248,1024,92454217466412,92454217467143,0
0,553,566272,1024,92454217811658,92454217812304,0
0,554,567296,1024,92454218156904,92454218157646,0
0,555,568320,1024,92454218502150,92454218502867,0
