N,policy,threads,receivers,rate,traced,repeats,saturated,x,batch_n,batch_mean_us,batch_std_us,batch_min_us,batch_max_us,frame_n,frame_mean_us,frame_std_us,frame_min_us,frame_max_us,edf_miss_ratio,lost_records
2048,rm,6,2,10000000.0,True,3,False,0.7274397265499273,144200,453.8107236615811,1001.6909646528974,103.616,13305.741,205866,557.5626659768976,419.69245181103895,228.458,8346.802,,7123968078
2048,rm,6,4,5000000.0,True,3,False,0.741022871407908,140593,355.1907181865385,461.50321841742647,104.679,20442.462,205872,786.6339010890263,1639.0053740445148,232.528,38139.84,,7003375890
2048,rm,2,3,2500000.0,True,3,False,0.7537496974639937,74289,486.0569249552424,1242.49605572863,134.223,34698.628,77202,808.8946015906323,1112.0133733628402,260.63,41314.329,,1835686994
2048,rm,1,3,2500000.0,True,3,True,0.8323634554520073,,,,,,49018,14235.04702227753,14248.292327766378,303.171,40495.041,,895621281
2048,rm,1,1,10000000.0,True,3,True,0.8324903573518215,,,,,,66478,10302.814775444509,257.7054173797566,9628.595,12474.822,,527583194
2048,rm,1,1,20000000.0,True,3,True,0.8333177602936827,,,,,,66337,10324.64997621237,274.95714067636845,9598.384,12334.228,,527576502
2048,rm,2,2,5000000.0,True,3,True,0.9259979930878024,88122,5747613.236497095,5932299.49049208,125.64,14301107.132,90963,8096.048374075172,8175.8767242887125,345.002,22145.668,,1938350868
2048,rm,6,3,10000000.0,True,3,True,0.9550267251460851,152711,13715063.074314436,10698745.801002836,124.424,27731220.676,252744,4523.518940548539,9236.969442328369,281.609,294606.455,,6974183678
2048,rr,2,1,2500000.0,True,3,False,0.25105439985410777,11150,109.11042520179372,10.025550945302196,93.177,519.243,25734,430.8591557861196,295.0206858491152,249.708,1251.143,,3411346157
2048,rr,6,3,2500000.0,True,3,False,0.2825723768207215,33564,213.78806682755334,95.79489094077549,96.067,3049.159,77202,493.9848568301339,279.626761862798,183.726,2558.867,,10088729900
2048,rr,1,1,2500000.0,True,4,False,0.3273531375134183,19622,143.86417398838037,67.57904148226422,91.962,1047.353,34312,376.86384014339,274.11254411243624,170.176,1310.414,,1772685240
2048,rr,2,2,2500000.0,True,3,False,0.5054525332169225,30002,219.01830794613693,93.78350475296675,102.748,991.588,51468,543.4750710344292,306.85394092317085,279.07,1510.29,,2634286882
