tag,dir,N,workers,receivers,rate,policy,traced,rep,target,kind,rc,analysis_rc,wall_s
target_N4096_t2_r1_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate10000000_edf_trace_rep0,4096,2,1,10000000,edf,True,0,0.95,target,0,0,83.1
target_N4096_t2_r1_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate10000000_rm_trace_rep0,4096,2,1,10000000,rm,True,0,0.95,target,0,0,91.7
target_N4096_t6_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate2500000_rr_trace_rep0,4096,6,3,2500000,rr,True,0,0.3,target,0,0,363.2
target_N4096_t6_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate2500000_edf_trace_rep0,4096,6,3,2500000,edf,True,0,0.3,target,0,0,92.5
target_N4096_t6_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate2500000_rm_trace_rep0,4096,6,3,2500000,rm,True,0,0.3,target,0,0,333.1
target_N4096_t6_r3_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate5000000_rr_trace_rep0,4096,6,3,5000000,rr,True,0,0.5,target,0,0,342.6
target_N4096_t6_r3_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate5000000_edf_trace_rep0,4096,6,3,5000000,edf,True,0,0.5,target,0,0,94.0
target_N4096_t6_r3_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate5000000_rm_trace_rep0,4096,6,3,5000000,rm,True,0,0.5,target,0,0,340.6
target_N4096_t6_r2_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r2_rate10000000_rr_trace_rep0,4096,6,2,10000000,rr,True,0,"0.7,0.85",target,0,0,267.3
target_N4096_t6_r2_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r2_rate10000000_edf_trace_rep0,4096,6,2,10000000,edf,True,0,"0.7,0.85",target,0,0,96.2
target_N4096_t6_r2_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r2_rate10000000_rm_trace_rep0,4096,6,2,10000000,rm,True,0,"0.7,0.85",target,0,0,266.3
target_N4096_t6_r3_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate10000000_rr_trace_rep0,4096,6,3,10000000,rr,True,0,0.95,target,0,0,162.7
target_N4096_t6_r3_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate10000000_edf_trace_rep0,4096,6,3,10000000,edf,True,0,0.95,target,0,2,103.4
target_N4096_t6_r3_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t6_r3_rate10000000_rm_trace_rep0,4096,6,3,10000000,rm,True,0,0.95,target,0,0,260.3
rate_sweep_N1024_t1_r1_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/rate_sweep_N1024_t1_r1_rate10000000_rr_trace_rep0,1024,1,1,10000000,rr,True,0,,rate_sweep,0,0,103.5
rate_sweep_N1024_t1_r1_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/rate_sweep_N1024_t1_r1_rate10000000_edf_trace_rep0,1024,1,1,10000000,edf,True,0,,rate_sweep,0,0,103.0
rate_sweep_N1024_t1_r1_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/rate_sweep_N1024_t1_r1_rate10000000_rm_trace_rep0,1024,1,1,10000000,rm,True,0,,rate_sweep,0,0,130.0
